,Submission,Fragment
209,AHN-SAT-de2502ba-17,x1380
210,AHN-SAT-de2502ba-16,x1380
211,AHN-SAT-de2502ba-15,x1380
212,AHN-SAT-de2502ba-13,x1380
213,AHN-SAT-de2502ba-10,x1380
214,TOB-UNK-c2aba166-1,x1386
215,THO-SYG-f9b2970d-8,x1425
216,THO-SYG-f9b2970d-7,x1425
217,THO-SYG-f9b2970d-6,x1425
218,THO-SYG-f9b2970d-5,x1425
219,THO-SYG-f9b2970d-4,x1425
220,THO-SYG-f9b2970d-3,x1425
221,THO-SYG-f9b2970d-2,x1425
222,THO-SYG-f9b2970d-1,x1425
223,THO-SYG-4e0386bb-3,x1392
224,THO-SYG-4e0386bb-2,x1392
225,THO-SYG-4e0386bb-1,x1392
226,STU-CHA-07310c75-1,x0692
227,STU-CHA-5350f95a-1,x0770
228,STU-CHA-814c6126-1,x0770
229,STU-CHA-545e7bd3-2,x0692
230,STU-CHA-464c0256-1,x0692
231,STU-CHA-91df9a40-1,x1382
232,STU-CHA-83dacf15-1,x0770
233,STU-CHA-09bcc2f6-1,x0770
234,STU-CHA-7e77017b-1,x0770
235,STU-CHA-7b3b91d5-1,x0770
236,STU-CHA-6d5cfe2b-1,x0770
237,STU-CHA-6cae54d3-1,x0770
238,STU-CHA-0be58c98-1,x0692
239,STE-UNK-13e151dd-1,x0692
240,SEL-UNI-cd366922-9,x0692
241,SEL-UNI-cd366922-8,x0692
242,SEL-UNI-cd366922-7,x0692
243,SEL-UNI-cd366922-6,x0692
244,SEL-UNI-cd366922-5,x0692
245,SEL-UNI-cd366922-4,x0692
246,SEL-UNI-cd366922-2,x0692
247,SEL-UNI-cd366922-1,x0692
248,SEL-UNI-49ab05bd-4,x0749
249,SEL-UNI-49ab05bd-3,x0749
250,SEL-UNI-49ab05bd-2,x0749
251,SEL-UNI-49ab05bd-1,x0749
252,SEA-TRI-fac72a44-1,x1392
253,SEA-TRI-f744d433-1,x0749
254,SEA-TRI-38830027-1,x1392
255,SEA-TRI-8252c13b-1,x1334
256,SEA-TRI-67e8f1c7-1,x0830
257,SAD-SAT-f2e2579e-9,x1358
258,SAD-SAT-f2e2579e-8,x1358
259,SAD-SAT-f2e2579e-7,x1358
260,SAD-SAT-f2e2579e-6,x1358
261,SAD-SAT-f2e2579e-5,x1358
262,SAD-SAT-f2e2579e-4,x1358
263,SAD-SAT-f2e2579e-3,x1358
264,SAD-SAT-f2e2579e-2,x1358
265,SAD-SAT-f2e2579e-1,x1358
266,SAD-SAT-c989feaa-9,x0770
267,SAD-SAT-c989feaa-8,x0770
268,SAD-SAT-c989feaa-5,x0770
269,SAD-SAT-c989feaa-4,x0770
270,SAD-SAT-c989feaa-3,x0770
271,SAD-SAT-c989feaa-2,x0770
272,SAD-SAT-c989feaa-1,x0770
273,SAD-SAT-89668ff1-9,x0736
274,SAD-SAT-89668ff1-8,x0736
275,SAD-SAT-89668ff1-4,x0736
276,SAD-SAT-89668ff1-3,x0736
277,SAD-SAT-89668ff1-2,x0736
278,SAD-SAT-89668ff1-1,x0736
279,SAD-SAT-29425be4-9,x0770
280,SAD-SAT-29425be4-8,x0770
281,SAD-SAT-29425be4-7,x0770
282,SAD-SAT-29425be4-6,x0770
283,SAD-SAT-29425be4-5,x0770
284,SAD-SAT-29425be4-4,x0770
285,SAD-SAT-29425be4-3,x0770
286,SAD-SAT-29425be4-2,x0770
287,SAD-SAT-29425be4-1,x0770
288,SAD-SAT-9a6c5cf3-9,x1358
289,SAD-SAT-9a6c5cf3-8,x1358
290,SAD-SAT-9a6c5cf3-7,x1358
291,SAD-SAT-9a6c5cf3-5,x1358
292,SAD-SAT-9a6c5cf3-4,x1358
293,SAD-SAT-9a6c5cf3-3,x1358
294,SAD-SAT-9a6c5cf3-2,x1358
295,SAD-SAT-9a6c5cf3-1,x1358
296,SAD-SAT-6b5a89f0-8,x1478
297,SAD-SAT-6b5a89f0-6,x1478
298,SAD-SAT-6b5a89f0-5,x1478
299,SAD-SAT-6b5a89f0-2,x1478
300,SAD-SAT-5b1897b2-9,x0692
301,SAD-SAT-5b1897b2-8,x0692
302,SAD-SAT-5b1897b2-6,x0692
303,SAD-SAT-5b1897b2-5,x0692
304,SAD-SAT-5b1897b2-4,x0692
305,SAD-SAT-5b1897b2-3,x0692
306,SAD-SAT-5b1897b2-2,x0692
307,SAD-SAT-5b1897b2-1,x0692
308,RAF-UNK-9885c2f5-2,x0736
309,RAF-UNK-9885c2f5-1,x0736
310,PED-UNI-d0b586b3-1,x1385
311,PED-UNI-89deb5c9-1,x0831
312,PAU-WEI-c6d65c11-1,x1380
313,PAU-UNI-f4334617-1,x0749
314,PAU-UNI-b2b6b158-1,x1418
315,PAU-UNI-8cdd41c7-1,x0770
316,PAU-UNI-2d648ace-1,x0770
317,NIR-THE-ed286faa-2,x0786
318,NIR-THE-ed286faa-1,x0786
319,NIM-UNI-ed9fc491-4,x0770
320,NIM-UNI-ed9fc491-3,x0770
321,NIM-UNI-ed9fc491-2,x0770
322,NIM-UNI-ed9fc491-1,x0770
323,NIM-UNI-363644a0-2,x0770
324,NIM-UNI-363644a0-1,x0770
325,NIM-UNI-310206f0-9,x0770
326,NIM-UNI-310206f0-8,x0770
327,NIM-UNI-310206f0-7,x0770
328,NIM-UNI-310206f0-6,x0770
329,NIM-UNI-310206f0-4,x0770
330,NIM-UNI-310206f0-3,x0770
331,NIM-UNI-310206f0-2,x0770
332,NIM-UNI-310206f0-1,x0770
333,NIM-UNI-43fe0159-9,x0759
334,NIM-UNI-43fe0159-8,x0759
335,NIM-UNI-43fe0159-7,x0759
336,NIM-UNI-43fe0159-6,x0759
337,NIM-UNI-43fe0159-5,x0759
338,NIM-UNI-43fe0159-4,x0759
339,NIM-UNI-43fe0159-3,x0759
340,NIM-UNI-43fe0159-2,x0759
341,NIM-UNI-43fe0159-1,x0759
342,MIH-UNI-e573136b-9,x0830
343,MIH-UNI-e573136b-8,x0830
344,MIH-UNI-e573136b-7,x0830
345,MIH-UNI-e573136b-6,x0830
346,MIH-UNI-e573136b-5,x0830
347,MIH-UNI-e573136b-4,x0830
348,MIH-UNI-e573136b-3,x0830
349,MIH-UNI-e573136b-2,x0830
350,MIH-UNI-e573136b-1,x0830
351,MIC-UNK-e8a42ca9-2,x0830
352,MIC-UNK-e8a42ca9-1,x0830
353,MIC-UNK-df342a3f-2,x0830
354,MIC-UNK-df342a3f-1,x0830
355,MAK-UNK-ec98eaf6-7,x0770
356,MAK-UNK-ec98eaf6-6,x0770
